"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,200000,1000,1,16,0,valve.png, 0.940853 s
seam-carving-omp-opt,200000,1000,1,16,0,720x480.png, 1.263148 s
seam-carving-omp-opt,200000,1000,1,16,0,7680x4320.png, 13.272630 s
seam-carving-omp-opt,200000,1000,1,16,0,1920x1200.png, 1.198187 s
seam-carving-omp-opt,200000,1000,1,16,0,1024x768.png, 1.115201 s
seam-carving-omp-opt,200000,1000,1,16,0,3840x2160.png, 3.240169 s
seam-carving-omp-opt,200000,1000,1,16,0,test.png, 1.009341 s
seam-carving-omp-opt,100000,1000,1,16,0,valve.png, 0.554020 s
seam-carving-omp-opt,100000,1000,1,16,0,720x480.png, 0.554102 s
seam-carving-omp-opt,100000,1000,1,16,0,7680x4320.png, 13.105254 s
seam-carving-omp-opt,100000,1000,1,16,0,1920x1200.png, 0.905902 s
seam-carving-omp-opt,100000,1000,1,16,0,1024x768.png, 0.599302 s
seam-carving-omp-opt,100000,1000,1,16,0,3840x2160.png, 3.228908 s
seam-carving-omp-opt,100000,1000,1,16,0,test.png, 0.582355 s
seam-carving-omp-opt,50000,1000,1,16,0,valve.png, 0.320009 s
seam-carving-omp-opt,50000,1000,1,16,0,720x480.png, 0.324334 s
seam-carving-omp-opt,50000,1000,1,16,0,7680x4320.png, 13.102747 s
seam-carving-omp-opt,50000,1000,1,16,0,1920x1200.png, 0.917575 s
seam-carving-omp-opt,50000,1000,1,16,0,1024x768.png, 0.372456 s
seam-carving-omp-opt,50000,1000,1,16,0,3840x2160.png, 3.242386 s
seam-carving-omp-opt,50000,1000,1,16,0,test.png, 0.362391 s
seam-carving-omp-opt,20000,1000,1,16,0,valve.png, 0.174709 s
seam-carving-omp-opt,20000,1000,1,16,0,720x480.png, 0.175286 s
seam-carving-omp-opt,20000,1000,1,16,0,7680x4320.png, 13.222828 s
seam-carving-omp-opt,20000,1000,1,16,0,1920x1200.png, 0.918261 s
seam-carving-omp-opt,20000,1000,1,16,0,1024x768.png, 0.401279 s
seam-carving-omp-opt,20000,1000,1,16,0,3840x2160.png, 3.236945 s
seam-carving-omp-opt,20000,1000,1,16,0,test.png, 0.301870 s
seam-carving-omp-opt,10000,1000,1,16,0,valve.png, 0.139480 s
seam-carving-omp-opt,10000,1000,1,16,0,720x480.png, 0.169958 s
seam-carving-omp-opt,10000,1000,1,16,0,7680x4320.png, 13.182276 s
seam-carving-omp-opt,10000,1000,1,16,0,1920x1200.png, 0.905743 s
seam-carving-omp-opt,10000,1000,1,16,0,1024x768.png, 0.352503 s
seam-carving-omp-opt,10000,1000,1,16,0,3840x2160.png, 3.244805 s
seam-carving-omp-opt,10000,1000,1,16,0,test.png, 0.302501 s
