"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,1,1,16,0,valve.png, 0.320136 s
seam-carving-omp-opt,1,1,1,16,0,720x480.png, 0.350365 s
seam-carving-omp-opt,1,1,1,16,0,7680x4320.png, 13.920592 s
seam-carving-omp-opt,1,1,1,16,0,1920x1200.png, 1.230152 s
seam-carving-omp-opt,1,1,1,16,0,1024x768.png, 0.641551 s
seam-carving-omp-opt,1,1,1,16,0,3840x2160.png, 3.862082 s
seam-carving-omp-opt,1,1,1,16,0,test.png, 0.580385 s
seam-carving-omp-opt,1,1,100,16,0,valve.png, 0.361306 s
seam-carving-omp-opt,1,1,100,16,0,720x480.png, 0.425912 s
seam-carving-omp-opt,1,1,100,16,0,7680x4320.png, 13.909949 s
seam-carving-omp-opt,1,1,100,16,0,1920x1200.png, 1.236765 s
seam-carving-omp-opt,1,1,100,16,0,1024x768.png, 0.667758 s
seam-carving-omp-opt,1,1,100,16,0,3840x2160.png, 3.813090 s
seam-carving-omp-opt,1,1,100,16,0,test.png, 0.623385 s
seam-carving-omp-opt,1,1,500,16,0,valve.png, 0.480859 s
seam-carving-omp-opt,1,1,500,16,0,720x480.png, 0.559714 s
seam-carving-omp-opt,1,1,500,16,0,7680x4320.png, 14.542000 s
seam-carving-omp-opt,1,1,500,16,0,1920x1200.png, 1.561977 s
seam-carving-omp-opt,1,1,500,16,0,1024x768.png, 1.064905 s
seam-carving-omp-opt,1,1,500,16,0,3840x2160.png, 4.762449 s
seam-carving-omp-opt,1,1,500,16,0,test.png, 0.899938 s
seam-carving-omp-opt,1,1,700,16,0,valve.png, 0.479920 s
seam-carving-omp-opt,1,1,700,16,0,720x480.png, 0.551925 s
seam-carving-omp-opt,1,1,700,16,0,7680x4320.png, 15.217019 s
seam-carving-omp-opt,1,1,700,16,0,1920x1200.png, 1.750023 s
seam-carving-omp-opt,1,1,700,16,0,1024x768.png, 1.042376 s
seam-carving-omp-opt,1,1,700,16,0,3840x2160.png, 5.033982 s
seam-carving-omp-opt,1,1,700,16,0,test.png, 0.888095 s
seam-carving-omp-opt,1,1,1000,16,0,valve.png, 0.472030 s
seam-carving-omp-opt,1,1,1000,16,0,720x480.png, 0.541780 s
seam-carving-omp-opt,1,1,1000,16,0,7680x4320.png, 16.196430 s
seam-carving-omp-opt,1,1,1000,16,0,1920x1200.png, 1.714920 s
seam-carving-omp-opt,1,1,1000,16,0,1024x768.png, 1.053233 s
seam-carving-omp-opt,1,1,1000,16,0,3840x2160.png, 5.914580 s
seam-carving-omp-opt,1,1,1000,16,0,test.png, 0.890639 s
seam-carving-omp-opt,1,1,5000,16,0,valve.png, 0.469045 s
seam-carving-omp-opt,1,1,5000,16,0,720x480.png, 0.540869 s
seam-carving-omp-opt,1,1,5000,16,0,7680x4320.png, 25.512830 s
seam-carving-omp-opt,1,1,5000,16,0,1920x1200.png, 1.704031 s
seam-carving-omp-opt,1,1,5000,16,0,1024x768.png, 1.039302 s
seam-carving-omp-opt,1,1,5000,16,0,3840x2160.png, 7.806721 s
seam-carving-omp-opt,1,1,5000,16,0,test.png, 0.890836 s
seam-carving-omp-opt,1,1,10000,16,0,valve.png, 0.480638 s
seam-carving-omp-opt,1,1,10000,16,0,720x480.png, 0.561322 s
seam-carving-omp-opt,1,1,10000,16,0,7680x4320.png, 25.527929 s
seam-carving-omp-opt,1,1,10000,16,0,1920x1200.png, 1.726111 s
seam-carving-omp-opt,1,1,10000,16,0,1024x768.png, 1.045289 s
seam-carving-omp-opt,1,1,10000,16,0,3840x2160.png, 7.893941 s
seam-carving-omp-opt,1,1,10000,16,0,test.png, 0.891273 s
seam-carving-omp-opt,1,100,1,16,0,valve.png, 0.304774 s
seam-carving-omp-opt,1,100,1,16,0,720x480.png, 0.345905 s
seam-carving-omp-opt,1,100,1,16,0,7680x4320.png, 14.018719 s
seam-carving-omp-opt,1,100,1,16,0,1920x1200.png, 1.248035 s
seam-carving-omp-opt,1,100,1,16,0,1024x768.png, 0.638348 s
seam-carving-omp-opt,1,100,1,16,0,3840x2160.png, 3.785927 s
seam-carving-omp-opt,1,100,1,16,0,test.png, 0.577739 s
seam-carving-omp-opt,1,100,100,16,0,valve.png, 0.332599 s
seam-carving-omp-opt,1,100,100,16,0,720x480.png, 0.406339 s
seam-carving-omp-opt,1,100,100,16,0,7680x4320.png, 14.007975 s
seam-carving-omp-opt,1,100,100,16,0,1920x1200.png, 1.253240 s
seam-carving-omp-opt,1,100,100,16,0,1024x768.png, 0.680285 s
seam-carving-omp-opt,1,100,100,16,0,3840x2160.png, 3.851757 s
seam-carving-omp-opt,1,100,100,16,0,test.png, 0.606421 s
seam-carving-omp-opt,1,100,500,16,0,valve.png, 0.456335 s
seam-carving-omp-opt,1,100,500,16,0,720x480.png, 0.530110 s
seam-carving-omp-opt,1,100,500,16,0,7680x4320.png, 14.750751 s
seam-carving-omp-opt,1,100,500,16,0,1920x1200.png, 1.611252 s
seam-carving-omp-opt,1,100,500,16,0,1024x768.png, 1.065765 s
seam-carving-omp-opt,1,100,500,16,0,3840x2160.png, 5.005266 s
seam-carving-omp-opt,1,100,500,16,0,test.png, 0.925885 s
seam-carving-omp-opt,1,100,700,16,0,valve.png, 0.463050 s
seam-carving-omp-opt,1,100,700,16,0,720x480.png, 0.554062 s
seam-carving-omp-opt,1,100,700,16,0,7680x4320.png, 15.691249 s
seam-carving-omp-opt,1,100,700,16,0,1920x1200.png, 1.759944 s
seam-carving-omp-opt,1,100,700,16,0,1024x768.png, 1.077815 s
seam-carving-omp-opt,1,100,700,16,0,3840x2160.png, 5.102951 s
seam-carving-omp-opt,1,100,700,16,0,test.png, 0.918428 s
seam-carving-omp-opt,1,100,1000,16,0,valve.png, 0.471488 s
