"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,100,100,16,0,valve.png, 0.267757 s
seam-carving-omp-opt,100,100,100,16,0,720x480.png, 0.340074 s
seam-carving-omp-opt,100,100,100,16,0,7680x4320.png, 13.238626 s
seam-carving-omp-opt,100,100,100,16,0,1920x1200.png, 1.060768 s
seam-carving-omp-opt,100,100,100,16,0,1024x768.png, 0.562903 s
seam-carving-omp-opt,100,100,100,16,0,3840x2160.png, 3.432171 s
seam-carving-omp-opt,100,100,100,16,0,test.png, 0.495633 s
seam-carving-omp-opt,100,100,500,16,0,valve.png, 0.377569 s
seam-carving-omp-opt,100,100,500,16,0,720x480.png, 0.453982 s
seam-carving-omp-opt,100,100,500,16,0,7680x4320.png, 14.150258 s
seam-carving-omp-opt,100,100,500,16,0,1920x1200.png, 1.311959 s
seam-carving-omp-opt,100,100,500,16,0,1024x768.png, 0.857494 s
seam-carving-omp-opt,100,100,500,16,0,3840x2160.png, 4.352199 s
seam-carving-omp-opt,100,100,500,16,0,test.png, 0.743818 s
seam-carving-omp-opt,100,100,1000,16,0,valve.png, 0.376210 s
seam-carving-omp-opt,100,100,1000,16,0,720x480.png, 0.456061 s
seam-carving-omp-opt,100,100,1000,16,0,7680x4320.png, 15.615200 s
seam-carving-omp-opt,100,100,1000,16,0,1920x1200.png, 1.479748 s
seam-carving-omp-opt,100,100,1000,16,0,1024x768.png, 0.860093 s
seam-carving-omp-opt,100,100,1000,16,0,3840x2160.png, 5.343434 s
seam-carving-omp-opt,100,100,1000,16,0,test.png, 0.728450 s
seam-carving-omp-opt,100,100,5000,16,0,valve.png, 0.378558 s
seam-carving-omp-opt,100,100,5000,16,0,720x480.png, 0.448110 s
seam-carving-omp-opt,100,100,5000,16,0,7680x4320.png, 24.173715 s
seam-carving-omp-opt,100,100,5000,16,0,1920x1200.png, 1.477059 s
seam-carving-omp-opt,100,100,5000,16,0,1024x768.png, 0.869606 s
seam-carving-omp-opt,100,100,5000,16,0,3840x2160.png, 7.246145 s
seam-carving-omp-opt,100,100,5000,16,0,test.png, 0.732798 s
seam-carving-omp-opt,100,500,100,16,0,valve.png, 0.215567 s
seam-carving-omp-opt,100,500,100,16,0,720x480.png, 0.265841 s
seam-carving-omp-opt,100,500,100,16,0,7680x4320.png, 13.211141 s
seam-carving-omp-opt,100,500,100,16,0,1920x1200.png, 0.906675 s
seam-carving-omp-opt,100,500,100,16,0,1024x768.png, 0.450604 s
seam-carving-omp-opt,100,500,100,16,0,3840x2160.png, 3.483856 s
seam-carving-omp-opt,100,500,100,16,0,test.png, 0.382403 s
seam-carving-omp-opt,100,500,500,16,0,valve.png, 0.279096 s
seam-carving-omp-opt,100,500,500,16,0,720x480.png, 0.338175 s
seam-carving-omp-opt,100,500,500,16,0,7680x4320.png, 14.068791 s
seam-carving-omp-opt,100,500,500,16,0,1920x1200.png, 1.128497 s
seam-carving-omp-opt,100,500,500,16,0,1024x768.png, 0.727773 s
seam-carving-omp-opt,100,500,500,16,0,3840x2160.png, 4.346934 s
seam-carving-omp-opt,100,500,500,16,0,test.png, 0.583690 s
seam-carving-omp-opt,100,500,1000,16,0,valve.png, 0.285755 s
seam-carving-omp-opt,100,500,1000,16,0,720x480.png, 0.331868 s
seam-carving-omp-opt,100,500,1000,16,0,7680x4320.png, 15.677996 s
seam-carving-omp-opt,100,500,1000,16,0,1920x1200.png, 1.331993 s
seam-carving-omp-opt,100,500,1000,16,0,1024x768.png, 0.736708 s
seam-carving-omp-opt,100,500,1000,16,0,3840x2160.png, 5.325455 s
seam-carving-omp-opt,100,500,1000,16,0,test.png, 0.587533 s
seam-carving-omp-opt,100,500,5000,16,0,valve.png, 0.276376 s
seam-carving-omp-opt,100,500,5000,16,0,720x480.png, 0.336279 s
seam-carving-omp-opt,100,500,5000,16,0,7680x4320.png, 24.576393 s
seam-carving-omp-opt,100,500,5000,16,0,1920x1200.png, 1.327496 s
seam-carving-omp-opt,100,500,5000,16,0,1024x768.png, 0.717232 s
seam-carving-omp-opt,100,500,5000,16,0,3840x2160.png, 7.251217 s
seam-carving-omp-opt,100,500,5000,16,0,test.png, 0.581573 s
seam-carving-omp-opt,100,1000,100,16,0,valve.png, 0.223455 s
seam-carving-omp-opt,100,1000,100,16,0,720x480.png, 0.263726 s
seam-carving-omp-opt,100,1000,100,16,0,7680x4320.png, 13.299927 s
seam-carving-omp-opt,100,1000,100,16,0,1920x1200.png, 0.997311 s
seam-carving-omp-opt,100,1000,100,16,0,1024x768.png, 0.443871 s
seam-carving-omp-opt,100,1000,100,16,0,3840x2160.png, 3.219148 s
seam-carving-omp-opt,100,1000,100,16,0,test.png, 0.388380 s
seam-carving-omp-opt,100,1000,500,16,0,valve.png, 0.278750 s
seam-carving-omp-opt,100,1000,500,16,0,720x480.png, 0.341630 s
seam-carving-omp-opt,100,1000,500,16,0,7680x4320.png, 14.148729 s
seam-carving-omp-opt,100,1000,500,16,0,1920x1200.png, 1.234501 s
seam-carving-omp-opt,100,1000,500,16,0,1024x768.png, 0.721494 s
seam-carving-omp-opt,100,1000,500,16,0,3840x2160.png, 4.187981 s
seam-carving-omp-opt,100,1000,500,16,0,test.png, 0.580587 s
seam-carving-omp-opt,100,1000,1000,16,0,valve.png, 0.275982 s
seam-carving-omp-opt,100,1000,1000,16,0,720x480.png, 0.361669 s
seam-carving-omp-opt,100,1000,1000,16,0,7680x4320.png, 15.699361 s
seam-carving-omp-opt,100,1000,1000,16,0,1920x1200.png, 1.501539 s
seam-carving-omp-opt,100,1000,1000,16,0,1024x768.png, 0.711827 s
